Year,Region,RegionIndex,KER_price ($/kg),CO2_price ($/kgCO2)
2011,UK,28,0.489498492,0.018141367
2012,AFE,0,0.501972105,0.0
2012,AFN,1,0.501972105,0.0
2012,AFW,2,0.501972105,0.0
2012,AFZ,3,0.501972105,0.0
2012,NIG,4,0.501972105,0.0
2012,RUS,5,0.485473981,0.0
2012,ASC,6,0.497925119,0.0
2012,ASE,7,0.497925119,0.0
2012,CHN,8,0.506316153,0.0
2012,IDN,9,0.497925119,0.0
2012,IND,10,0.449715042,0.0
2012,ASO,11,0.497925119,0.0
2012,JPN,12,0.483554915,0.0
2012,SKT,13,0.448502707,0.0
2012,ANZ,14,0.500045826,0.0
2012,USA,15,0.520227661,0.0
2012,CAN,16,0.523623374,0.0
2012,LAM,17,0.512440736,0.0
2012,BRA,18,0.512440736,0.0
2012,MEX,19,0.518844342,0.0
2012,CHL,20,0.512440736,0.0
2012,ENE,21,0.506218366,0.0
2012,ENW,22,0.506218366,0.0
2012,EUE,23,0.50562659,0.0
2012,EUW,24,0.50562659,0.0
2012,EUM,25,0.50562659,0.0
2012,MEA,26,0.488660814,0.0
2012,MDA,27,0.488660814,0.0
2012,UK,28,0.505642605,0.036282733
2013,AFE,0,0.516494323,0.0
2013,AFN,1,0.516494323,0.0
2013,AFW,2,0.516494323,0.0
2013,AFZ,3,0.516494323,0.0
2013,NIG,4,0.516494323,0.0
2013,RUS,5,0.50500446,0.0
2013,ASC,6,0.517320428,0.0
2013,ASE,7,0.517320428,0.0
2013,CHN,8,0.525846631,0.0
2013,IDN,9,0.517320428,0.0
2013,IND,10,0.474387156,0.0
2013,ASO,11,0.517320428,0.0
2013,JPN,12,0.491507777,0.0
2013,SKT,13,0.459236563,0.0
2013,ANZ,14,0.519475689,0.0
2013,USA,15,0.535630345,0.0
2013,CAN,16,0.546173528,0.0
2013,LAM,17,0.529028136,0.0
2013,BRA,18,0.529028136,0.0
2013,MEX,19,0.534344117,0.0
2013,CHL,20,0.529028136,0.0
2013,ENE,21,0.522776576,0.0
2013,ENW,22,0.522776576,0.0
2013,EUE,23,0.521762695,0.0
2013,EUW,24,0.521762695,0.0
2013,EUM,25,0.521762695,0.0
2013,MEA,26,0.507906887,0.0
2013,MDA,27,0.507906887,0.0
2013,UK,28,0.521786718,0.0544241
2014,AFE,0,0.53101654,0.0
2014,AFN,1,0.53101654,0.0
2014,AFW,2,0.53101654,0.0
2014,AFZ,3,0.53101654,0.0
2014,NIG,4,0.53101654,0.0
2014,RUS,5,0.524534938,0.0
2014,ASC,6,0.536715737,0.0
2014,ASE,7,0.536715737,0.0
2014,CHN,8,0.54537711,0.0
2014,IDN,9,0.536715737,0.0
2014,IND,10,0.49905927,0.0
2014,ASO,11,0.536715737,0.0
2014,JPN,12,0.499460639,0.0
2014,SKT,13,0.469970419,0.0
2014,ANZ,14,0.538905553,0.0
2014,USA,15,0.551033029,0.0
2014,CAN,16,0.568723682,0.0
2014,LAM,17,0.545615536,0.0
2014,BRA,18,0.545615536,0.0
2014,MEX,19,0.549843891,0.0
2014,CHL,20,0.545615536,0.0
2014,ENE,21,0.539334787,0.0
2014,ENW,22,0.539334787,0.0
2014,EUE,23,0.537898799,0.0
2014,EUW,24,0.537898799,0.0
2014,EUM,25,0.537898799,0.0
2014,MEA,26,0.527152959,0.0
2014,MDA,27,0.527152959,0.0
2014,UK,28,0.537930831,0.072565466
